date,item_title,item_price,item_oldprice,item_site,item_link
03/24/20 14:00,adidas Men's or Women's Ultraboost 19 Running Shoes,$75,$180,Olympia Sports,www.slickdeals.net/f/13935335-adidas-men-s-or-women-s-ultraboost-19-running-shoes-74-98-free-shipping?src=frontpage
03/24/20 14:00,"adidas Soccer Balls: Tango Glider $7, Glider 2",$5.60,$16,adidas,www.slickdeals.net/f/13936169-adidas-tango-glider-soccer-ball-size-5-7-glider-2-soccer-ball-pink-size-3-or-4-5-60-more-free-shipping?src=frontpage
03/24/20 14:00,Chase Ink Business Cash Card,$500 Cash Back,,Chase - Bank Advertiser,www.slickdeals.net/f/11403699-chase-ink-business-cash-card-500-cash-back-w-3k-spent-in-1st-3-mos?src=sticky-24
03/24/20 14:00,0.33-Oz Urban Decay Eyeshadow Primer Potion (Freebase),$12,$24,Urban Decay,www.slickdeals.net/f/13930610-0-33-oz-urban-decay-eyeshadow-primer-potion-freebase-12-free-shipping?src=frontpage
03/24/20 14:00,L.O.L. Surprise! Bubbly Surprise (Multicolor),$20,$30,Best Buy,www.slickdeals.net/f/13933040-l-o-l-surprise-bubbly-surprise-multicolor-20-at-best-buy-w-free-store-pickup?src=frontpage
03/24/20 14:00,Fossil: Men's Forrester Three Hand Luggage Leather Watch,$34.65,$99,Fossil,www.slickdeals.net/f/13929638-fossil-men-s-forrester-three-hand-luggage-leather-watch-34-65-more-free-s-h?src=sticky-24
03/24/20 14:00,Converse Chuck Taylor High and Low Tops (select styles),$25,$85,Converse,www.slickdeals.net/f/13936286-converse-chuck-taylor-select-high-and-low-tops-twisted-prep-suede-iridescent-more-25-free-shipping?src=frontpage
03/24/20 14:00,Simply Genius Office Organizers: Desk Organizer w/ Drawer,$5,$20,Deal Genius,www.slickdeals.net/f/13934015-simply-genius-office-organizers-desk-organizer-w-drawer-5-more-free-sh-on-15?src=frontpage
03/24/20 14:00,Chase Sapphire Preferred Card: Spend $4K on Purchases & Earn,"60,000 Points",,Chase - Bank Advertiser,www.slickdeals.net/f/12940198-chase-sapphire-preferred-card-spend-4k-on-purchases-earn-60-000-points-within-1st-3-months?src=sticky-24
03/24/20 14:00,4-Years of Car and Driver Magazine,$12,$48,DiscountMags,www.slickdeals.net/f/13883978-4-years-of-car-and-driver-magazine-12?src=frontpage
03/24/20 14:00,Joy of Cooking 2019 Edition (Kindle eBook),$3,$40,Amazon,www.slickdeals.net/f/13936154-kindle-cookbook-ebook-joy-of-cooking-2019-edition-fully-revised-and-updated-2-99-amazon-google-play-b-n-nook?src=frontpage
03/24/20 14:00,Dyson Cyclone V10 Absolute Vacuum Cleaner (Black) w/ Free Tools,$400,$550,Dyson,www.slickdeals.net/f/13929332-dyson-cyclone-v10-absolute-vacuum-cleaner-black-w-free-tools-400-free-shipping?src=sticky-24
03/24/20 14:00,Calvin Klein Infinite ETA 2824-2 Automatic Watch,$130,$699,Ashford,www.slickdeals.net/f/13898006-calvin-klein-infinite-eta-2824-2-automatic-watch-130-free-shipping?src=frontpage
03/24/20 14:00,"Digital 4K UHD Films: Jurassic World: Fallen Kingdom, Lone Survivor & More",2 for $15,,VUDU,www.slickdeals.net/f/13936022-digital-4k-uhd-films-jurassic-world-fallen-kingdom-lone-survivor-more-2-for-15?src=frontpage
03/24/20 14:00,United℠ Explorer Card: Earn,60K Bonus Miles,,Chase - Bank Advertiser,www.slickdeals.net/f/13820720-united-explorer-card-earn-60k-bonus-miles-w-3k-spent-in-first-3-months?src=sticky-24
03/24/20 14:00,"Brooks Running Shoes: Dyad 10 $78, Women''s Ariel 18 or Men''s Beast 18",$96 each,$160,JackRabbit,www.slickdeals.net/f/13934960-brooks-dyad-10-77-97-ariel-18-95-97-beast-18-95-97-running-shoes-free-shipping?src=frontpage
03/24/20 14:00,T-Mobile Customers: 2-Month YouTube Premium Trial,Free,,T-Mobile Tuesdays,www.slickdeals.net/f/13934405-t-mobile-customers-2-month-youtube-premium-trial-free-new-subscribers-only?src=frontpage
03/24/20 14:00,Bank of America® Cash Rewards Credit Card,$200 Bonus Offer,,Bank of America - Bank Advertiser,www.slickdeals.net/f/13004074-bank-of-america-cash-rewards-credit-card-200-bonus-offer-w-1k-in-eligible-purchases?src=sticky-24
03/24/20 14:00,Women's Sorel Whitney Short Lace Boots (Quarry),$53,$120,Backcountry,www.slickdeals.net/f/13934336-women-s-sorel-whitney-short-lace-boots-quarry-53-men-s-sorel-1964-pac-nylon-boots-quarry-dove-63-more-free-shipping?src=frontpage
03/24/20 14:00,"32 Degrees Men''s & Women''s Cool Sleep Pants 2 For $20, Cool Sleep Shorts",2 for $16,$64,32 Degrees,www.slickdeals.net/f/13934048-32-degrees-men-s-women-s-cool-sleep-shorts-2-for-16-8-each-cool-sleep-pants-2-for-20-10-each-free-shipping?src=frontpage
03/24/20 14:00,Verizon Fios: 200/200 Mbps Internet + 1-Year Disney+ Streaming + $50 Visa GC,$39.99/month,,Verizon Fios,www.slickdeals.net/e/10817763-verizon-fios-200-200-mbps-internet-1-year-disney-streaming-50-visa-gc-39-99-month-auto-pay-required-new-customers-only?src=sticky-24
03/24/20 14:00,Shark NV105 Navigator Light Upright Vacuum Cleaner (Refurbished),$69,$85,BuyDig,www.slickdeals.net/f/13934255-shark-nv105-navigator-light-upright-vacuum-cleaner-refurbished-69-more-free-s-h?src=frontpage
03/24/20 14:00,Deco Gear Xbox Stand w/ Cooling Fan & Dual Controller Charging Station,$16,$40,BuyDig,www.slickdeals.net/f/13883882-deco-gear-xbox-stand-w-cooling-fan-dual-controller-charging-station-16-free-shipping?src=frontpage
03/24/20 14:00,Chase Ink Business Unlimited Credit Card,$500 Bonus,,Chase - Bank Advertiser,www.slickdeals.net/f/11621423-chase-ink-business-unlimited-credit-card-500-bonus-after-3k-spent-in-3-months?src=sticky-24
03/24/20 14:00,Brooks Adrenaline GTS 19 Running Shoes,$64.50,,JackRabbit,www.slickdeals.net/f/13934732-brooks-adrenaline-gts-19-running-shoes-64-50-free-shipping?src=frontpage
03/24/20 14:00,Child of Light (PC Digital Download),Free,,Ubisoft,www.slickdeals.net/f/13928468-child-of-light-pc-digital-download-free-via-ubisoft-live?src=frontpage
03/24/20 14:00,Costco Anywhere Visa® Card by Citi,Cash Back,,Citi - Bank Advertiser,www.slickdeals.net/f/8606090-costco-anywhere-visa-card-by-citi-cash-back?src=sticky-24
03/24/20 14:00,"Men''s adidas Pro Bounce, 3-Stripe Essential or Run-It Shorts",$10.50,$30,adidas,www.slickdeals.net/f/13935902-adidas-men-s-pro-bounce-basketball-shorts-10-50-3-stripe-essentials-shorts-10-50-more-free-shipping?src=frontpage
03/24/20 14:00,Peter Thomas Roth: Clinical Skin Care Kits + 15% Off Coupon,From $6,$25,Peter Thomas Roth Labs,www.slickdeals.net/f/13935290-peter-thomas-roth-clinical-skin-care-kits-15-off-coupon-from-6-free-s-h?src=frontpage
03/24/20 14:00,"Wendy''s: Make any Purchase, Get Breakfast Baconator or Dave''s Single & More",Free,,Wendy's,www.slickdeals.net/f/13935410-wendy-s-make-any-purchase-get-breakfast-baconator-or-dave-s-single-more-free-via-mobile-order-app-req-d?src=frontpage
03/24/20 14:00,Paw Patrol Ultimate Rescue Fire Truck w/ Extendable 2' Ladder,$22.50,$60,Target,www.slickdeals.net/f/13932383-paw-patrol-ultimate-rescue-fire-truck-with-extendable-2-tall-ladder-22-50-or-less-at-target-free-store-pickup-or-free-ship-on-35?src=frontpage
03/24/20 14:00,Hanes Men's & Women's X-Temp Crew Neck Short Sleeve Shirt,$4.80,$8,Hanes,www.slickdeals.net/f/13933106-hanes-up-to-60-off-sale-kids-comfortblend-ecosmart-crewneck-tee-various-3-20-men-s-women-s-x-temp-crew-neck-s-s-shirt-various-4-80-more-free-s-h?src=frontpage
03/24/20 14:00,Sephora Sale: KVD Vegan Beauty Alchemist Holographic Palette,$10,$32,Sephora,www.slickdeals.net/f/13933091-free-shipping-at-sephora-even-sale-items-kvd-vegan-beauty-alchemist-holographic-palette-10-free-s-h?src=frontpage
03/24/20 14:00,"Biddeford Heated MicroPlush Blanket: King $23, Queen $18, Twin",$11.25,$100,JCPenney,www.slickdeals.net/f/13935743-biddeford-heated-microplush-blanket-king-23-queen-18-twin-11-25-more-free-s-h-w-orders-49?src=frontpage
03/24/20 14:00,New Balance Men's Fresh Foam Roav Knit Running Shoes (Black/Fog),$32,$80,Olympia Sports,www.slickdeals.net/f/13935176-new-balance-men-s-fresh-foam-roav-knit-32-free-shipping?src=frontpage
03/24/20 14:00,Pokemon Go: In-Store Game Bundle Purchases: 100x Poke Balls or 30x Incense,1 PokeCoin,,Apple iTunes,www.slickdeals.net/f/13935149-pokemon-go-in-store-game-bundle-purchases-100x-poke-balls-or-30x-incense-1-pokecoin-ios-android-or-samsung-app?src=frontpage
03/24/20 14:00,32 Degrees Men's Midweight Cloudfill Puffer Jacket,$20,$100,32 Degrees,www.slickdeals.net/f/13932131-32-degrees-men-s-midweight-cloudfill-puffer-jacket-20-women-s-cozy-fleece-full-zip-hoodie-15-more-free-shipping?src=frontpage
03/24/20 14:00,"Anime Collection Blu-rays: Sakura Wars, He is My Master, Hinako, Yamishibai",$10 each,,Best Buy,www.slickdeals.net/f/13934804-anime-collections-blu-ray-sakura-wars-he-is-my-master-hinako-initial-d-royal-space-force-diabolik-lovers-for-10?src=frontpage
03/24/20 14:00,B1G1 Free Select Vitamin/Supplements: 100-Count Sundown Valerian Root Capsules,2 for $3.95,$10,Amazon,www.slickdeals.net/f/13933430-b1g1-free-select-vitamin-supplements-100-count-sundown-valerian-root-capsules-2-for-3-95-more-free-s-h?src=frontpage
03/24/20 14:00,Eagle Creek Men's or Women's Wayfinder 20L Backpack,$38.75,$79,REI,www.slickdeals.net/f/13924331-eagle-creek-men-s-or-women-s-wayfinder-20l-backpack-various-colors-38-75-more-free-shipping?src=frontpage
03/24/20 14:00,Sony WF-1000XM3 Wireless In-Ear Earphones + 20000mAh Battery Pack,$198,$228,Adorama,www.slickdeals.net/f/13935272-sony-wf-1000xm3-wireless-in-ear-earphones-20000mah-battery-pack-198-free-shipping?src=frontpage
03/24/20 14:00,Olive Garden Meal Special: Buy One Meal & Take One Entree Home for Free,From $13,,Olive Garden,www.slickdeals.net/f/13934711-olive-garden-bogo-select-entrees-12-99?src=frontpage
03/24/20 14:00,Days Gone (PS4),$20,$60,Walmart,www.slickdeals.net/f/13931075-playstation-4-ps4-days-gone-at-walmart-for-19-99?src=frontpage
03/24/20 14:00,Black+Decker 20-Volt Lithium-Ion Cordless Drill-Driver w/ 128-Piece Project Kit,$70,$110,Walmart,www.slickdeals.net/f/13929887-black-decker-20-volt-lithium-ion-cordless-drill-driver-w-128-piece-project-kit-70-free-shipping?src=frontpage
03/24/20 14:00,Vera Bradley 30% Off Outlet: Women's Hoodie $14.35 Collegiate Zip ID w/ Lanyard,$7,,Vera Bradley,www.slickdeals.net/f/13933220-vera-bradley-30-off-outlet-collegiate-zip-id-w-lanyard-7-women-s-harper-racer-back-tank-5-95-river-hoodie-14-35-more-free-s-h?src=frontpage
03/24/20 14:00,42-Piece Rubbermaid Press & Lock Easy Find Lids Food Storage Containers,$18,$40,Walmart,www.slickdeals.net/f/13934765-42-piece-rubbermaid-press-lock-easy-find-lids-food-storage-containers-17-99-free-store-pickup-at-walmart?src=frontpage
03/24/20 14:00,50-Ct. 16-Oz. Perk Plastic Cold Cups (Red,$3,$10,Staples,www.slickdeals.net/f/13934933-50-ct-perk-party-16-oz-plastic-cups-red-3-free-shipping?src=frontpage
03/24/20 14:00,Heads Up! (iOS or Android App),Free,$1,Apple iTunes,www.slickdeals.net/f/13935137-heads-up-app-game-free-ios-and-google-play?src=frontpage
03/24/20 14:00,"$50 Outback, Carrabba’s, or Bonefish Grill eGift Card + $20 Bonus Card",$50,$70,Outback Steakhouse,www.slickdeals.net/f/13932335-buy-50-outback-gift-card-get-20-bonus-e-card?src=frontpage
03/24/20 14:00,"Linux eBook Bundles w/ Wiley: 17 eBook Bundle $15, 5 eBook Bundle",$1,,Fanatical,www.slickdeals.net/f/13934516-fanatical-linux-bundle-with-wiley-starting-at-1?src=frontpage
03/24/20 14:00,Chase Sapphire Reserve/Preferred Cardholders: 2-Years DashPass Membership,Free,,DoorDash,www.slickdeals.net/f/13782533-chase-sapphire-reserve-preferred-cardholders-2-years-dashpass-membership-free?src=frontpage
03/24/20 14:00,6.6-Lbs Myprotein Impact Whey Protein (Chocolate Stevia or Vanilla Stevia),$30,$90,Myprotein,www.slickdeals.net/f/13934279-3-x-2-2lbs-impact-whey-protein-stevia-flavors-free-shipping-30?src=frontpage
03/24/20 14:00,Radio Flyer 3-in-1 EZ Fold Wagon with Canopy,$75,$100,Target,www.slickdeals.net/f/13933514-radio-flyer-3-in-1-ez-fold-wagon-with-canopy-75-w-target-toy-coupon-71-25-for-redcard-holders-free-shipping?src=frontpage
03/24/20 14:00,"Ozark Trail Fishing & Landing Net w/ 18'" Handle (18'" x 12'" Hoop)",$6.45,$14,Walmart,www.slickdeals.net/f/13934507-ozark-trail-fishing-landing-net-w-18-handle-18-x-12-hoop-6-45-free-store-pickup?src=frontpage
03/24/20 14:00,The Children's Place: Baby Apparel or Toddler Boys and Girls Apparel,from $1.40,,The Children's Place,www.slickdeals.net/f/13934354-the-children-s-place-all-clearance-80-off-no-exclusions-plus-free-s-h-girls-and-boys-items-starting-at-1-39?src=frontpage
03/24/20 14:00,adidas Men's Ultraboost Running Shoes (Core Black / Core Black / Glow Green),$88.20,$180,adidas,www.slickdeals.net/f/13934546-adidas-men-s-ultraboost-running-shoes-core-black-core-black-glow-green-88-20-free-shipping?src=frontpage
03/24/20 14:00,DeWalt Maxfit Telescoping Ratcheting Multi-Bit Screwdriver,$10,$16,Home Depot,www.slickdeals.net/f/13934108-dewalt-maxfit-telescoping-ratcheting-multi-bit-screwdriver-10-free-s-h-on-45?src=frontpage
03/24/20 14:00,APC BE Series 7-Outlet 600VA Battery Backup UPS & Surge Protector,$45.55,$70,Staples,www.slickdeals.net/f/13934429-apc-be-series-7-outlet-600va-battery-backup-ups-surge-protector-45-50-free-shipping?src=frontpage
03/24/20 14:00,Sperry Walker Atlantic Rain Boots (Oxblood or Black),$30,$130,Famous Footwear,www.slickdeals.net/f/13933160-sperry-walker-atlantic-rain-boots-oxblood-or-black-30-more-free-s-h?src=frontpage
03/24/20 14:00,"Modern Forms Hiline 8'" Indoor / Outdoor Dimmable LED Wall Light",$27.80,,Build.com,www.slickdeals.net/f/13932512-modern-forms-hiline-outdoor-dimmable-led-wall-light-in-graphite-8-245-lumens-27-80-free-shipping?src=frontpage
03/24/20 14:00,"Digital 4K UHD Movies: Patriots Day, 3:10 to Yuma (2007), Hostiles & More",$5 each,,Amazon,www.slickdeals.net/f/13934426-digital-4k-uhd-movies-patriots-day-3-10-to-yuma-2007-hostiles-more-5-each?src=frontpage
03/24/20 14:00,"82'" Samsung QN82Q60RAF Q60 Series QLED 4K UHD Smart TV",$1699,$1998,Google Shopping,www.slickdeals.net/f/13934201-82-samsung-q60-series-qled-4k-uhd-smart-tv-1699-free-s-h?src=frontpage
03/24/20 14:00,Staples Mesh Back Fabric Task Chair (Black),$45.50,$60,Staples,www.slickdeals.net/f/13933979-staples-mesh-back-fabric-task-chair-black-45-50-free-shipping?src=frontpage
03/24/20 15:00,Kingdom Rush Vengeance (iOS or Android) or Zombie Night Terror (iOS),$1,$5,Apple iTunes,www.slickdeals.net/f/13935971-kingdom-rush-vengeance-ios-or-android-game-app-or-zombie-night-terrior-ios-game-app-0-99-via-apple-app-store-google-play?src=frontpage
03/24/20 15:00,Mint Mobile Customers: Unlimited 4G LTE Data,Free,,Mint Mobile,www.slickdeals.net/f/13918856-mint-mobile-customers-unlimited-4g-lte-data-free-valid-through-4-14-20?src=frontpage
03/24/20 15:00,Segway Kickscooter MAX Folding Electric Scooter + $100 Visa Gift Card,$699,$799,Wellbots,www.slickdeals.net/f/13932902-segway-kickscooter-max-folding-electric-scooter-free-100-visa-gift-card-699-fs?src=frontpage
03/24/20 16:00,Honeywell Sync Hearing Protector Wired Stereo Headphones w/ 25dB Noise Reduction,$17,$40,Northern Tool and Equipment,www.slickdeals.net/f/13934276-honeywell-stereo-hearing-protector-headphones-with-aux-cable-one-size-fits-most-9-99-6-99-shipping-at-northern-tool?src=frontpage
03/24/20 16:00,"SNK Pick & Mix (PCDD): Metal Slug, Samurai Showdown 2, Fatal Fury Special",5 for $3,,Fanatical,www.slickdeals.net/f/13936064-snk-pick-match-gog-edition-metal-slug-samurai-showdown-2-fatal-fury-special-art-of-fighting-2-more-pc-digital-download-5-for-2-99-or-1-for-1-via-fanatical?src=frontpage
03/24/20 16:00,3-Month WWE Network Streaming Service Trial (New Subscribers Only),Free,,Cricket Wireless,www.slickdeals.net/f/13932935-3-month-wwe-network-streaming-service-trial-new-subscribers-only-free-payment-method-req-d?src=frontpage
03/24/20 16:00,Mountain Hardwear: Men's Exposure/2 Gore-Tex Paclite Stretch Waterproof Pullover,$96,$137,Mountain Hardwear,www.slickdeals.net/f/13935152-mountain-hardwear-men-s-exposure-2-gore-tex-paclite-stretch-waterproof-pullover-95-89-women-s-frostzone-full-zip-jacket-43-39-more-free-s-h-w-elevated-rewards?src=frontpage
03/24/20 16:00,All-Clad Stainless Steel 7-Piece Cookware Set,$300,$630,Macy's,www.slickdeals.net/f/13928456-all-clad-stainless-steel-7-pc-cookware-set-299-99?src=frontpage
